"Mid Depth z(i) (cm)","Wet Weight (g)","Wet Weight Uncertainty (g)","Dry Weight (g)","Dry Weight Uncertainty (g)","Water Weight (g)","Water Weight Uncertainty (g)","Water %","Water % Uncertainty (%)","Estimated Sediment Volume (g/cm^3)","Estimated Sediment Volume Uncertainty (g/cm^3)","Estimated Water Volume (g/cm^3)","Estimated Water Volume Uncertainty (g/cm^3)","Porosity","Porosity Uncertainty","Dry Bulk Density (g/cm^3)","Dry Bulk Density Uncertainty (g/cm^3)"
0.5,103.774,0.01,18.744,0.01,85.03,0.014142135623731,81.937672249311,0.0157499483094911,7.07320754716981,0.266940166215942,85.03,0.014142135623731,0.923203461252451,0.00267572091255532,0.203510827681006,0.010452490076689
1.5,77.274,0.01,14.804,0.01,62.47,0.014142135623731,80.8421978932112,0.0210804522894962,5.58641509433962,0.210841888717859,62.47,0.014142135623731,0.917914937385465,0.00284379364239793,0.217525415928517,0.0111432343670692
2.5,78.714,0.01,15.814,0.01,62.9,0.014142135623731,79.909545951165,0.0206362592013327,5.96754716981132,0.225222074572931,62.9,0.014142135623731,0.913347470397098,0.00298703338075116,0.22962920344769,0.0117364364727659
3.5,,,18.244,0.01,,,,,6.88452830188679,0.259820925651046,,,0.906711278933006,0.00226075341990805,0.247215110827535,0.00892334928108701
4.5,82.544,0.01,18.764,0.01,63.78,0.014142135623731,77.267881372359,0.0195232981139602,7.08075471698113,0.267224936648684,63.78,0.014142135623731,0.900075087468913,0.00339435644633589,0.26480101820738,0.0134447279068725
5.5,79.774,0.01,19.304,0.01,60.47,0.014142135623731,75.8016396319603,0.0201137280452398,7.28452830188679,0.274913760595984,60.47,0.014142135623731,0.892486473089594,0.00362133026182807,0.284910846312577,0.0144112761573442
6.5,86.274,0.01,22.104,0.01,64.17,0.014142135623731,74.3793031504277,0.0185210187504513,8.34113207547169,0.314782320488654,64.17,0.014142135623731,0.884967565162408,0.00384185001401719,0.304835952319618,0.0153614903937575
7.5,83.404,0.01,22.004,0.01,61.4,0.014142135623731,73.6175722986907,0.0191160000660941,8.30339622641509,0.313358428974538,61.4,0.014142135623731,0.880875299111058,0.00396013473877404,0.315680457355696,0.0158757196269766
8.5,86.064,0.01,22.674,0.01,63.39,0.014142135623731,73.6544896820971,0.0185271584576486,8.55622641509434,0.322898519430298,63.39,0.014142135623731,0.881074702018017,0.0039543795723385,0.315152039652256,0.0158506758457322
9.5,83.224,0.01,23.234,0.01,59.99,0.014142135623731,72.0825723349034,0.0190728822984873,8.76754716981132,0.330872356082744,59.99,0.014142135623731,0.872486039268417,0.00419862481616996,0.337911995938696,0.0169231762496309
10.5,86.404,0.01,24.314,0.01,62.09,0.014142135623731,71.8600990694875,0.0183592485463763,9.17509433962264,0.346250538753381,62.09,0.014142135623731,0.871254020995221,0.00423317574270628,0.341176844362664,0.0170762087173644
11.5,88.474,0.01,25.244,0.01,63.23,0.014142135623731,71.4673237335262,0.0179096356522542,9.52603773584905,0.359492928248613,63.23,0.014142135623731,0.869068766905165,0.00429420804963992,0.346967767701312,0.0173472286669915
12.5,,,17.324,0.01,,,,,6.53735849056603,0.246721633235534,,,0.865585812219187,0.00324461763650794,0.356197597619154,0.0131274517520804
13.5,,,26.484,0.01,,,,,9.99396226415094,0.377149530328229,,,0.862102857533209,0.00280689085007835,0.365427427536997,0.0113973080739754
14.5,84.644,0.01,25.714,0.01,58.93,0.014142135623731,69.6210008978782,0.0186226522494743,9.70339622641509,0.366185339480653,58.93,0.014142135623731,0.858619902847231,0.00458115720859652,0.374657257454839,0.0186350351711291
15.5,,0.01,29.504,0.01,,0.014142135623731,,,11.1335849056604,0.42015222597177,,0.014142135623731,0.855897353246449,0.00329150062144524,0.38187201389691,0.013414414793163
16.5,78.874,0.01,24.704,0.01,54.17,0.014142135623731,68.6791591652509,0.0199325330086808,9.32226415094339,0.351803791920891,54.17,0.014142135623731,0.853174803645668,0.00472746274380048,0.389086770338981,0.01930081762887
17.5,106.324,0.01,34.154,0.01,72.17,0.014142135623731,67.8774312478838,0.0147537044143708,12.8883018867925,0.486365653949312,72.17,0.014142135623731,0.848476849397417,0.00485167881460169,0.401536349096846,0.0198719346224875
18.5,88.864,0.01,29.164,0.01,59.7,0.014142135623731,67.1813107670148,0.017618757766895,11.0052830188679,0.415310842895969,59.7,0.014142135623731,0.844349919143508,0.00495966595964946,0.412472714269703,0.0203718173752409
19.5,89.664,0.01,29.264,0.01,60.4,0.014142135623731,67.3625981441827,0.0174702448048925,11.0430188679245,0.41673477861823,60.4,0.014142135623731,0.845429000021128,0.00493157279851154,0.409613149944011,0.0202413443586345
20.5,94.104,0.01,31.324,0.01,62.78,0.014142135623731,66.7134234463997,0.0166164174606344,11.8203773584906,0.446067937708006,62.78,0.014142135623731,0.841550702864571,0.00503208546368785,0.419890637408886,0.0207095323176716
21.5,89.244,0.01,30.604,0.01,58.64,0.014142135623731,65.7074985433194,0.0174735124900396,11.548679245283,0.43581555423053,58.64,0.014142135623731,0.835462365591398,0.00518765893701216,0.436024731182796,0.0214409534236045
22.5,94.604,0.01,33.024,0.01,61.58,0.014142135623731,65.0923850999958,0.0164562205270971,12.4618867924528,0.470275019220636,61.58,0.014142135623731,0.831691393448889,0.00528256295975234,0.446017807360443,0.0218916432335499
23.5,,,33.234,0.01,,,,,12.5411320754717,0.473265311593403,,,0.826478214198326,0.00382723591737591,0.459832732374435,0.0159232111815278
24.5,98.924,0.01,36.184,0.01,62.74,0.014142135623731,63.422425296187,0.0156677475312821,13.6543396226415,0.515271917044534,62.74,0.014142135623731,0.821265034947763,0.00553944651073204,0.473647657388427,0.0231289985485989
25.5,,,34.424,0.01,,,,,12.9901886792453,0.490210323751796,,,0.816219728823027,0.00400303724119836,0.487017718618978,0.0167789723443002
26.5,94.894,0.01,36.204,0.01,58.69,0.014142135623731,61.8479566674395,0.0162659430794255,13.6618867924528,0.51555670827209,58.69,0.014142135623731,0.811174422698291,0.00578029073424707,0.50038777984953,0.0243142978073001
27.5,,,39.014,0.01,,,,,14.7222641509434,0.555569953535867,,,0.794566348796575,0.00448034441619639,0.544399175689077,0.019045080192514
28.5,,,37.824,0.01,,,,,14.2732075471698,0.538624824511499,,,0.777958274894859,0.00409535764579028,0.588410571528625,0.0177652081605072
29.5,106.764,0.01,48.444,0.01,58.32,0.014142135623731,54.6251545464763,0.0141999591834796,18.2807547169811,0.689850121759195,58.32,0.014142135623731,0.761350200993143,0.00685669970904293,0.632421967368172,0.0299949229771525
